Commodity Name,Qty,UOM
RITTER SPORT CARAMELISED ALMOND 14/07/24,250,BOX
RITTER SPORT CASHEW 15/9/24,250,BOX
RITTER SPORT SALTED CARAMEL 02/11/24,200,BOX
RITTER SPORT HONEY SALT ALMONDS 26/5/24,150,BOX
RITTER SPORT PEPPERMINT 15/9/24,150,BOX
RITTER SPORT WHITE WHOLE HAZELNUTS 08/24,150,BOX
RITTER SPORT MARZIPAN 28/9/24,100,BOX
ROWNTREES FRUIT PASTILLES POUCH BAG 08/24 (H),624,BOX
ROWNTREES FRUIT PASTILLES TUBE 3PK PM125 06/24,90,BOX
SKITTLES CRAZY SOURS POUCH 05/11/24(H),38,BOX
SKITTLES FRUIT GIANTS POUCH 13/08/24(H),57,BOX
SKITTLES FRUITS POUCH 07/08/25 (H),19,BOX
SKITTLES TROPICAL POUCH 23/06/24 (H),38,BOX
SKITTLES WILD BERRY POUCH 09/11/24 (H),38,BOX
SWIZZELS SUPER BABY BOTTLES 05/25 (H),60,BOX
TIC TAC LIME & ORANGE 4PACK 26/12/24,10,BOX
FREIGHT COSTS freight cost 40ft reefer invoice 274530,1,BOX
ATHENA BODY BRUSH/MASSAGE/PUMICE 3,24,BOX
ATHENA COTTON BUDS PAPER STEM (R),420,BOX
ATHENA MESH BATH BRUSH W/HANDLE (R),24,BOX
CS BEAUTY COSMETIC SPONGES,36,BOX
FIREFLY LOL SURPRISE DENTAL VALUE SET 08/25,48,BOX
FIREFLY LOL SURPRISE TOOTHPASTE 08/25,55,BOX
KIT & KABOODLE HAIR ELASTICS THICK 12PK(C),10,BOX
PALMERS COCOA BUTTER MOISTERISING BODY OIL,0,BOX
PALMOLIVE SHAMPOO SILKY SHINE ALOE,120,BOX
PILL ORGANISER 7 COMPARTMENT (R),30,BOX
SUPER BRIGHT MULTI PURPOSE CLOTHS,20,BOX
SUPER BRIGHT SPONGE SCOURERS,25,BOX
ZAZIE TRAVEL BOTTLES & BAG SET FOR HAIR & SKIN (R),70,BOX
CADBURY BRUNCH BAR PEANUT 5PK 08/05/2024,60,BOX
CADBURY BRUNCH BAR RAISIN 5PK 12/4/24,140,BOX
CADBURY DAIRY MILK OREO BAR PM £1.25 07/07/24,20,BOX
KINDER BUENO BANDED 17/04/24,552,BOX
KINDER BUENO WHITE BANDED 3PK 19/5/24,276,BOX
RITTER SPORT HONEY SALT ALMONDS 26/05/24,150,BOX
RITTER SPORT SALTED CARAMEL 02/11/24,157,BOX
RITTER SPORT CASHEW 15/9/24,213,BOX
RITTER SPORT CARAMELISED ALMOND 14/07/24,250,BOX
RITTER SPORT BUTTER BISCUIT 14/6/24,178,BOX
RITTER SPORT ALPINE MILK 24/08/24,93,BOX
RITTER SPORT DARK WHOLE HAZELNUTS 28/9/24,400,BOX
RITTER SPORT WHOLE HAZELNUTS 20/9/24,540,BOX
ROWNTREES FRUIT PASTILLES TUBE 3PK PM125 09/24,90,BOX
ROWNTREES FRUIT PASTILLES POUCH BAG 31/07/24 (H),428,BOX
CADBURY BRUNCH BAR RAISIN 5PK 22/05/2024,140,BOX
KINDER BUENO BANDED 17/04/24,552,BOX
KINDER BUENO WHITE BANDED 3PK 19/05/24,118,BOX
RITTER SPORT HONEY SALT ALMONDS 23/6/24,149,BOX
RITTER SPORT SALTED CARAMEL 02/11/24,0,BOX
RITTER SPORT CASHEW 15/9/24,0,BOX
RITTER SPORT CARAMELISED ALMOND 14/07/24,0,BOX
RITTER SPORT BUTTER BISCUIT 14/6/24,176,BOX
RITTER SPORT ALPINE MILK 24/09/24,93,BOX
RITTER SPORT DARK WHOLE HAZELNUTS 28/9/24,400,BOX
RITTER SPORT WHOLE HAZELNUTS 20/9/24,540,BOX
ROWNTREES FRUIT PASTILLES TUBE 3PK PM125 06/24,0,BOX
